word endings and modifiers...
english         drakin
...er           ...ra
...est          ...te
...ible         ...dra
...tion         ...ijo
...ing          ...tak
...ly           ...lik
...dom          ...ejh
...al           ...do
...ness         ...dao
...ity          ...chi
...ance         ...gado

add ya(do) to nouns to form a verb 
add re to verbs to form past tense
add st to words to make them plural
The suffix im... is Chs'

ado              if                      a               na
rysspardra       comfortable             source          zhasst
sago             wise                    straight        bierk
sagoejh         wisdom                  sun             shzat
sangi            try                     supple          ygda
sare             could                   teach           vheda
sedryth          roots                   teaching        vhedatak
shadass          happen                  than            togo
shzat            sun                     these           ryi
soik'a           mother                  thing           tajh
sstoojk          fear                    those           ryan 
steik            point                   thought         cheng
sto              toward                  three           kwa
sypk             firm                    thus            yi
tae              way                     to              etoi
taek             hidden                  tolerate        hodaedya
taekya           hide                    tool            ochee
tajh             thing                   toward          sto
tala             soft                    tree            gohd
tbre             been                    try             sangi
tbtak            being                   up              tyl
tertegy          when                    use             ufas
tg               go                      used            ufasre
tgre             went                    utmost          gradova
togo             than                    value           ylak
toka             work                    vice            fak
trova            govern                  victory         renkod
trovasheckt      government              view            jhellash
tyashijo         destination             void            ezht
tyl              up                      way             tae
tylepoa          simple                  weapon          kata
tzba             as                      welfare         ebodo
ufas             use                     well            ftun'ylir
ufasre           used                    went            tgre
unjatde          gravely                 were            daorest
vadherijzha      inside                  when            tertegy
vadhetoi         into                    who             gyova
vheda            teach                   will            rasta
vhedatak         teaching                wind            haneesh
ximen            ritual                  wisdom          sagoejh
ya               do                      wise            sago
yast             does                    wish            greesh
ygda             supple                  within          kon'vahde
yi               thus                    work            toka
ylak             value                   world           gova
yust             put                     yet             jo
zhasst           source                  yourself        gyitabe
